,Sample_Name,Subject.ID,CellType,Sex,Age,Array,Slide,Study,SampleID,CellTypeLong,ArrayTypes,CellType_original,Reclassified
200693480117_R03C01,F2-Chi,LinF2,CD8T,F,0,R03C01,200693480117    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200693480117_R05C01,M14-Ind,LinM14,CD4T,M,0,R05C01,200693480117    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200693480117_R07C01,M11-Ind,LinM11,Mono,M,0,R07C01,200693480117    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200693480117_R08C01,M6-Mal,LinM6,Gran,M,0,R08C01,200693480117    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200693480124_R01C01,M5-Chi,LinM5,NK,M,0,R01C01,200693480124    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200693480124_R07C01,M14-Ind,LinM14,CD8T,M,0,R07C01,200693480124    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200693480130_R04C01,F1-Chi,LinF1,Mono,F,0,R04C01,200693480130    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200693480131_R02C01,F1-Chi,LinF1,Gran,F,0,R02C01,200693480131    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200693480131_R07C01,M6-Mal,LinM6,CD8T,M,0,R07C01,200693480131    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200693480131_R08C01,M5-Chi,LinM5,Bcell,M,0,R08C01,200693480131    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200693480132_R01C01,F10-Ind,LinF10,CD8T,F,0,R01C01,200693480132    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200693480132_R05C01,M9-Mal,LinM9,Gran,M,0,R05C01,200693480132    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200693480132_R07C01,M14-Ind,LinM14,NK,M,0,R07C01,200693480132    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200693480133_R03C01,M4-Chi,LinM4,Bcell,M,0,R03C01,200693480133    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200693480133_R04C01,M12-Ind,LinM12,CD4T,M,0,R04C01,200693480133    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200693480133_R06C01,F2-Chi,LinF2,Mono,F,0,R06C01,200693480133    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200693480137_R07C01,F2-Chi,LinF2,CD4T,F,0,R07C01,200693480137    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200693480138_R07C01,M11-Ind,LinM11,Gran,M,0,R07C01,200693480138    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200693480055_R04C01,M4-Chi,LinM4,Mono,M,0,R04C01,200693480055    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200693480055_R06C01,M9-Mal,LinM9,NK,M,0,R06C01,200693480055    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200705360014_R02C01,U13-Ind,LinU13,CD8T,NA,0,R02C01,200705360014    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200705360014_R08C01,M6-Mal,LinM6,CD4T,M,0,R08C01,200705360014    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200705360063_R04C01,M6-Mal,LinM6,Bcell,M,0,R04C01,200705360063    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200705360063_R06C01,M14-Ind,LinM14,Mono,M,0,R06C01,200705360063    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200705360068_R02C01,M14-Ind,LinM14,Gran,M,0,R02C01,200705360068    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200705360068_R03C01,M6-Mal,LinM6,Mono,M,0,R03C01,200705360068    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200705360068_R04C01,M8-Mal,LinM8,CD8T,M,0,R04C01,200705360068    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200705360094_R05C01,F10-Ind,LinF10,NK,F,0,R05C01,200705360094    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200705860009_R01C01,M7-Mal,LinM7,Mono,M,0,R01C01,200705860009    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200705860044_R02C01,M12-Ind,LinM12,Bcell,M,0,R02C01,200705860044    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200705860044_R04C01,M3-Chi,LinM3,CD4T,M,0,R04C01,200705860044    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200705860054_R06C01,F1-Chi,LinF1,Bcell,F,0,R06C01,200705860054    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200705860054_R08C01,M9-Mal,LinM9,CD8T,M,0,R08C01,200705860054    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200705940017_R05C01,M9-Mal,LinM9,Bcell,M,0,R05C01,200705940017    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200705940017_R08C01,M4-Chi,LinM4,NK,M,0,R08C01,200705940017    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200693480077_R01C01,M3-Chi,LinM3,NK,M,0,R01C01,200693480077    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200693480078_R02C01,F2-Chi,LinF2,Gran,F,0,R02C01,200693480078    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200705360013_R02C01,M11-Ind,LinM11,CD8T,M,0,R02C01,200705360013    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200705360013_R05C01,M5-Chi,LinM5,CD4T,M,0,R05C01,200705360013    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200705360013_R06C01,M12-Ind,LinM12,Gran,M,0,R06C01,200705360013    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200705360022_R04C01,F10-Ind,LinF10,Gran,F,0,R04C01,200705360022    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200705360022_R06C01,M8-Mal,LinM8,CD4T,M,0,R06C01,200705360022    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200705360058_R01C01,M11-Ind,LinM11,CD4T,M,0,R01C01,200705360058    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200705360058_R02C01,F10-Ind,LinF10,Bcell,F,0,R02C01,200705360058    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200705360058_R03C01,M8-Mal,LinM8,NK,M,0,R03C01,200705360058    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200705360058_R04C01,M7-Mal,LinM7,CD8T,M,0,R04C01,200705360058    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200705360058_R05C01,U13-Ind,LinU13,Mono,NA,0,R05C01,200705360058    ,Lin,NA,Mono,IlluminaHumanMethylationEPIC,Mono,No
200705360058_R07C01,M4-Chi,LinM4,Gran,M,0,R07C01,200705360058    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200705360060_R06C01,F10-Ind,LinF10,CD4T,F,0,R06C01,200705360060    ,Lin,NA,CD4T,IlluminaHumanMethylationEPIC,CD4T,No
200705360060_R08C01,M6-Mal,LinM6,NK,M,0,R08C01,200705360060    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200705360089_R04C01,M11-Ind,LinM11,NK,M,0,R04C01,200705360089    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200705360089_R06C01,M3-Chi,LinM3,Gran,M,0,R06C01,200705360089    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
200705360089_R08C01,M8-Mal,LinM8,Bcell,M,0,R08C01,200705360089    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200705360090_R01C01,F2-Chi,LinF2,Bcell,F,0,R01C01,200705360090    ,Lin,NA,Bcell,IlluminaHumanMethylationEPIC,Bcell,No
200705360098_R04C01,M4-Chi,LinM4,CD8T,M,0,R04C01,200705360098    ,Lin,NA,CD8T,IlluminaHumanMethylationEPIC,CD8T,No
200705360098_R08C01,U13-Ind,LinU13,NK,NA,0,R08C01,200705360098    ,Lin,NA,NK,IlluminaHumanMethylationEPIC,NK,No
200705360110_R03C01,M7-Mal,LinM7,Gran,M,0,R03C01,200705360110    ,Lin,NA,Gran,IlluminaHumanMethylationEPIC,Gran,No
